product,year,rev_op_type,sales_budget_type,region,total,ytd,ytd_gap,rank_total,rank_ytd_gap,share_pct
PJ,2024,Gross,Actual,CE,20164723434,10963623546,3354397647,17,27,0.88
PJ,2024,Gross,Budget,CE,23743430180,7609225899,0,16,1,1.0
PJ,2024,Gross,Forecast,CE,20423621141,6734438706,-874787193,14,12,0.93
PJ,2024,Net,Actual,CE,15173322554,5712003498,-1332543770,19,9,0.61
PJ,2024,Net,Budget,CE,22106249168,7044547268,0,15,1,0.86
PJ,2024,Net,Forecast,CE,16800640081,8590931820,1546384552,19,23,0.67
PJ,2024,Op,Actual,CE,19287537277,5456487801,-3198389682,17,10,0.75
PJ,2024,Op,Budget,CE,25299659671,8654877483,0,16,1,1.04
PJ,2024,Op,Forecast,CE,17065672684,9621044337,966166854,18,22,0.66
PJ,2025,Gross,Actual,CE,33887370000,12434940000,4176440000,13,20,1.14
PJ,2025,Gross,Budget,CE,28749239941,8258500000,0,11,1,1.42
PJ,2025,Gross,Forecast,CE,21917186993,10889282627,2630782627,16,24,0.96
PJ,2025,Net,Actual,CE,30281910000,12431280000,1479575883,14,15,0.9
PJ,2025,Net,Budget,CE,19882999838,10951704117,0,16,1,0.85
PJ,2025,Net,Forecast,CE,17547145667,9441260167,-1510443950,18,10,0.74
PJ,2025,Op,Actual,CE,30281910000,12431280000,2109618645,14,17,0.9
PJ,2025,Op,Budget,CE,27998492405,10321661355,0,15,1,1.01
PJ,2025,Op,Forecast,CE,24582217698,9462951609,-858709746,16,17,1.0
CDE,2024,Gross,Actual,CH,3021136039,926350277,-356737330,32,15,0.13
CDE,2024,Gross,Budget,CH,2607818165,1283087607,0,31,1,0.11
CDE,2024,Gross,Forecast,CH,2624998712,1490551611,207464004,32,18,0.12
CDE,2024,Net,Actual,CH,1792454623,767691046,-207855977,33,12,0.07
CDE,2024,Net,Budget,CH,1757629648,975547023,0,33,1,0.07
CDE,2024,Net,Forecast,CH,2535400894,1268650775,293103752,33,15,0.1
CDE,2024,Op,Actual,CH,791159591,201972869,-931030556,33,9,0.03
CDE,2024,Op,Budget,CH,2374394065,1133003425,0,33,1,0.1
CDE,2024,Op,Forecast,CH,1867141643,846700616,-286302809,33,17,0.08
CDE,2025,Gross,Actual,CH,2534025969,1264749879,-252703278,32,15,0.14
CDE,2025,Gross,Budget,CH,2900445970,1517453157,0,31,1,0.12
CDE,2025,Gross,Forecast,CH,2512145686,1044478754,-472974403,32,14,0.12
CDE,2025,Net,Actual,CH,1824270410,1059080613,200743440,33,23,0.08
CDE,2025,Net,Budget,CH,2032357541,858337173,0,33,1,0.08
CDE,2025,Net,Forecast,CH,2556692767,1036077071,177739898,32,23,0.12
CDE,2025,Op,Actual,CH,1966553248,811588942,-714976490,33,10,0.09
CDE,2025,Op,Budget,CH,2961015929,1526565432,0,33,1,0.12
CDE,2025,Op,Forecast,CH,2149309698,1339335254,-187230178,33,18,0.09
PJ,2024,Gross,Actual,CH,2313550122,1537127934,168499989,32,18,0.1
PJ,2024,Gross,Budget,CH,2754016735,1368627945,0,32,1,0.12
PJ,2024,Gross,Forecast,CH,1805054671,905689978,-462937967,32,14,0.08
PJ,2024,Net,Actual,CH,2358012035,1297667625,-271149811,33,16,0.09
PJ,2024,Net,Budget,CH,2305120074,1568817436,0,32,1,0.09
PJ,2024,Net,Forecast,CH,2572406059,1513865388,-54952048,33,13,0.1
PJ,2024,Op,Actual,CH,2533124016,1119813493,7672082,33,22,0.1
PJ,2024,Op,Budget,CH,2719772485,1112141411,0,33,1,0.11
PJ,2024,Op,Forecast,CH,1459523737,682210186,-429931225,33,15,0.06
PJ,2025,Gross,Actual,CH,3382930000,1763210000,2605661,30,4,0.11
PJ,2025,Gross,Budget,CH,3239838873,1760604339,0,32,1,0.16
PJ,2025,Gross,Forecast,CH,2141762533,552875285,-1207729054,32,8,0.09
PJ,2025,Net,Actual,CH,3235500000,1710760000,-203409789,31,5,0.1
PJ,2025,Net,Budget,CH,2757296860,1914169789,0,32,1,0.12
PJ,2025,Net,Forecast,CH,2772127166,1560176462,-353993327,33,13,0.12
PJ,2025,Op,Actual,CH,3235500000,1710760000,234669981,31,8,0.1
PJ,2025,Op,Budget,CH,2167807870,1476090019,0,33,1,0.08
PJ,2025,Op,Forecast,CH,2496748615,1424483640,-51606379,32,21,0.1
CDE,2024,Gross,Actual,DC,19902349851,7924605112,3129178436,17,28,0.87
CDE,2024,Gross,Budget,DC,21445163505,4795426676,0,17,1,0.92
CDE,2024,Gross,Forecast,DC,19872702182,8653243376,3857816700,18,29,0.91
CDE,2024,Net,Actual,DC,14602235901,4783471213,-1929137029,19,6,0.58
CDE,2024,Net,Budget,DC,17120479754,6712608242,0,18,1,0.71
CDE,2024,Net,Forecast,DC,15222966006,4052931020,-2659677222,19,7,0.62
CDE,2024,Op,Actual,DC,17389248438,5078191562,937991317,19,22,0.72
CDE,2024,Op,Budget,DC,11990977924,4140200245,0,20,1,0.5
CDE,2024,Op,Forecast,DC,16766568477,6042644745,1902444500,19,26,0.76
CDE,2025,Gross,Actual,DC,27742212147,9757474651,4408043596,13,31,1.5
CDE,2025,Gross,Budget,DC,25092813823,5349431055,0,15,1,1.01
CDE,2025,Gross,Forecast,DC,20287550154,7510233569,2160802514,16,25,1.0
CDE,2025,Net,Actual,DC,13887296157,2244897931,-5970259558,20,8,0.59
CDE,2025,Net,Budget,DC,20331834118,8215157489,0,18,1,0.84
CDE,2025,Net,Forecast,DC,20485703070,5706976966,-2508180523,18,9,0.93
CDE,2025,Op,Actual,DC,13693120424,4997990045,-293302321,19,14,0.6
CDE,2025,Op,Budget,DC,16467125778,5291292366,0,19,1,0.67
CDE,2025,Op,Forecast,DC,13150374420,5139814570,-151477796,17,19,0.52
PJ,2024,Gross,Actual,DC,21769928752,7272177205,1647718318,16,24,0.95
PJ,2024,Gross,Budget,DC,24394215974,5624458887,0,14,1,1.03
PJ,2024,Gross,Forecast,DC,20344487244,6933010747,1308551860,15,26,0.92
PJ,2024,Net,Actual,DC,13078055153,4630025851,635059619,20,22,0.53
PJ,2024,Net,Budget,DC,15493125556,3994966232,0,20,1,0.61
PJ,2024,Net,Forecast,DC,11819272796,5518775403,1523809171,20,22,0.47
PJ,2024,Op,Actual,DC,16578709743,4730866470,1773026817,18,29,0.64
PJ,2024,Op,Budget,DC,9823886177,2957839653,0,21,1,0.4
PJ,2024,Op,Forecast,DC,12922163419,4351160171,1393320518,20,23,0.5
PJ,2025,Gross,Actual,DC,28532270000,9503670000,2561341652,15,16,0.96
PJ,2025,Gross,Budget,DC,15418251437,6942328348,0,19,1,0.76
PJ,2025,Gross,Forecast,DC,20903624392,10962360491,4020032143,17,27,0.92
PJ,2025,Net,Actual,DC,20429750000,6731220000,2242986673,18,17,0.61
PJ,2025,Net,Budget,DC,14337278951,4488233327,0,18,1,0.62
PJ,2025,Net,Forecast,DC,8638662900,3050050508,-1438182819,24,11,0.36
PJ,2025,Op,Actual,DC,20429750000,6731220000,2878191012,18,23,0.61
PJ,2025,Op,Budget,DC,11291197190,3853028988,0,20,1,0.41
PJ,2025,Op,Forecast,DC,17488431342,5301511433,1448482445,19,29,0.71
CDE,2024,Gross,Actual,DE,28478911052,10758036491,-6669652364,14,5,1.24
CDE,2024,Gross,Budget,DE,33517473528,17427688855,0,12,1,1.43
CDE,2024,Gross,Forecast,DE,35974744603,16932227129,-495461726,10,13,1.65
CDE,2024,Net,Actual,DE,24785133347,11031750366,501304669,15,18,0.98
CDE,2024,Net,Budget,DE,26126794212,10530445697,0,15,1,1.08
CDE,2024,Net,Forecast,DE,23097629883,9622709631,-907736066,16,9,0.94
CDE,2024,Op,Actual,DE,21425409677,15843558956,879578700,18,20,0.89
CDE,2024,Op,Budget,DE,27958042848,14963980256,0,15,1,1.18
CDE,2024,Op,Forecast,DE,24892198605,13206420462,-1757559794,15,7,1.12
CDE,2025,Gross,Actual,DE,24734187640,8460319951,-4091210040,16,7,1.34
CDE,2025,Gross,Budget,DE,20649443359,12551529991,0,17,1,0.83
CDE,2025,Gross,Forecast,DE,34573717800,16281662298,3730132307,11,28,1.71
CDE,2025,Net,Actual,DE,27107904512,12451015411,-532721801,14,18,1.15
CDE,2025,Net,Budget,DE,28321129013,12983737212,0,13,1,1.16
CDE,2025,Net,Forecast,DE,33889638246,18354091072,5370353860,12,30,1.53
CDE,2025,Op,Actual,DE,29652076677,14716931681,1462048056,15,22,1.3
CDE,2025,Op,Budget,DE,28766806078,13254883625,0,15,1,1.16
CDE,2025,Op,Forecast,DE,34223490200,14422597467,1167713842,12,26,1.37
PJ,2024,Gross,Actual,DE,24758021034,11417219865,1034874103,14,21,1.08
PJ,2024,Gross,Budget,DE,22692348017,10382345762,0,17,1,0.96
PJ,2024,Gross,Forecast,DE,18110775087,6840196319,-3542149443,17,8,0.82
PJ,2024,Net,Actual,DE,18789627759,9824657597,3480731763,16,29,0.75
PJ,2024,Net,Budget,DE,19555371289,6343925834,0,17,1,0.76
PJ,2024,Net,Forecast,DE,20388425899,13119819424,6775893590,15,29,0.81
PJ,2024,Op,Actual,DE,29243502761,14961095914,-1394172048,15,15,1.13
PJ,2024,Op,Budget,DE,28763501613,16355267962,0,14,1,1.18
PJ,2024,Op,Forecast,DE,25786698746,8345481068,-8009786894,13,4,1.0
PJ,2025,Gross,Actual,DE,40130380000,18741000000,8249317508,10,23,1.34
PJ,2025,Gross,Budget,DE,21624612455,10491682492,0,15,1,1.07
PJ,2025,Gross,Forecast,DE,29602980070,14465651117,3973968625,13,25,1.3
PJ,2025,Net,Actual,DE,35355790000,16608920000,-532998768,13,2,1.06
PJ,2025,Net,Budget,DE,27487750906,17141918768,0,13,1,1.18
PJ,2025,Net,Forecast,DE,19495979050,11907278506,-5234640262,17,8,0.82
PJ,2025,Op,Actual,DE,35355790000,16608920000,4287989043,13,25,1.06
PJ,2025,Op,Budget,DE,31498316942,12320930957,0,14,1,1.13
PJ,2025,Op,Forecast,DE,31495982354,13449984244,1129053287,12,27,1.28
CDE,2024,Gross,Actual,ES,4637893172,2262419319,-521737271,31,14,0.2
CDE,2024,Gross,Budget,ES,6167775086,2784156590,0,28,1,0.26
CDE,2024,Gross,Forecast,ES,3976696484,2773152701,-11003889,30,15,0.18
CDE,2024,Net,Actual,ES,5345725867,2057617216,524675761,30,19,0.21
CDE,2024,Net,Budget,ES,2904542957,1532941455,0,31,1,0.12
CDE,2024,Net,Forecast,ES,4272526584,2818603509,1285662054,30,20,0.17
CDE,2024,Op,Actual,ES,3171235541,1457811407,-375043427,31,13,0.13
CDE,2024,Op,Budget,ES,3912624147,1832854834,0,30,1,0.16
CDE,2024,Op,Forecast,ES,4523935540,1783186180,-49668654,29,19,0.2
CDE,2025,Gross,Actual,ES,5117122447,2624585456,300309504,30,20,0.28
CDE,2025,Gross,Budget,ES,5121316088,2324275952,0,30,1,0.21
CDE,2025,Gross,Forecast,ES,3882108532,2128538730,-195737222,29,16,0.19
CDE,2025,Net,Actual,ES,5513754765,2715416051,-23125332,28,20,0.23
CDE,2025,Net,Budget,ES,4729439327,2738541383,0,29,1,0.19
CDE,2025,Net,Forecast,ES,4525853743,2101328051,-637213332,31,16,0.2
CDE,2025,Op,Actual,ES,5049863395,2623314155,111036553,29,17,0.22
CDE,2025,Op,Budget,ES,3942966236,2512277602,0,31,1,0.16
CDE,2025,Op,Forecast,ES,5210459973,2619192018,106914416,30,22,0.21
PJ,2024,Gross,Actual,ES,2723487946,2195232778,65578980,31,17,0.12
PJ,2024,Gross,Budget,ES,3951219852,2129653798,0,28,1,0.17
PJ,2024,Gross,Forecast,ES,6062509541,2864124999,734471201,28,22,0.27
PJ,2024,Net,Actual,ES,4345427111,1773235491,-1115573079,31,11,0.17
PJ,2024,Net,Budget,ES,5262341384,2888808570,0,29,1,0.21
PJ,2024,Net,Forecast,ES,4531465459,1710198162,-1178610408,29,7,0.18
PJ,2024,Op,Actual,ES,4050854467,1330053014,-1103729227,31,17,0.16
PJ,2024,Op,Budget,ES,5021355773,2433782241,0,30,1,0.21
PJ,2024,Op,Forecast,ES,4438421706,2530382642,96600401,30,17,0.17
PJ,2025,Gross,Actual,ES,6497780000,3173410000,1067539096,28,10,0.22
PJ,2025,Gross,Budget,ES,4287826258,2105870904,0,30,1,0.21
PJ,2025,Gross,Forecast,ES,5697468463,2288337194,182466290,28,15,0.25
PJ,2025,Net,Actual,ES,5977880000,2850580000,13313592,29,7,0.18
PJ,2025,Net,Budget,ES,4760209704,2837266408,0,28,1,0.2
PJ,2025,Net,Forecast,ES,5341912925,2693711200,-143555208,29,16,0.22
PJ,2025,Op,Actual,ES,5977880000,2850580000,781530068,29,11,0.18
PJ,2025,Op,Budget,ES,4832453401,2069049932,0,31,1,0.17
PJ,2025,Op,Forecast,ES,2517259436,1464304594,-604745338,31,18,0.1
CDE,2024,Gross,Actual,FR,21737293225,12694772065,2237257986,16,27,0.95
CDE,2024,Gross,Budget,FR,24420525014,10457514079,0,16,1,1.04
CDE,2024,Gross,Forecast,FR,20388704041,8547240758,-1910273321,17,8,0.93
CDE,2024,Net,Actual,FR,20600419805,6907448854,-1871442298,16,7,0.82
CDE,2024,Net,Budget,FR,19817503573,8778891152,0,17,1,0.82
CDE,2024,Net,Forecast,FR,24653206362,11936995312,3158104160,15,23,1.0
CDE,2024,Op,Actual,FR,22400263431,8265781019,1262302272,17,24,0.93
CDE,2024,Op,Budget,FR,22675149909,7003478747,0,16,1,0.95
CDE,2024,Op,Forecast,FR,19909485062,6812102669,-191376078,18,18,0.9
CDE,2025,Gross,Actual,FR,21161531596,6436198634,-3440753422,17,8,1.14
CDE,2025,Gross,Budget,FR,23618262594,9876952056,0,16,1,0.95
CDE,2025,Gross,Forecast,FR,29049690731,13731100112,3854148056,14,29,1.44
CDE,2025,Net,Actual,FR,23921396994,13153100933,4408951989,16,31,1.01
CDE,2025,Net,Budget,FR,17001670977,8744148944,0,19,1,0.7
CDE,2025,Net,Forecast,FR,26667577386,11280114497,2535965553,16,29,1.21
CDE,2025,Op,Actual,FR,13365507007,6677786862,327743483,21,19,0.59
CDE,2025,Op,Budget,FR,18168212892,6350043379,0,17,1,0.73
CDE,2025,Op,Forecast,FR,13067807474,4263027338,-2087016041,18,10,0.52
PJ,2024,Gross,Actual,FR,24630846116,13787389532,2648779453,15,25,1.07
PJ,2024,Gross,Budget,FR,24096031300,11138610079,0,15,1,1.02
PJ,2024,Gross,Forecast,FR,19378987756,11312291204,173681125,16,21,0.88
PJ,2024,Net,Actual,FR,17497193419,9381682896,-1201511256,17,10,0.7
PJ,2024,Net,Budget,FR,19707726338,10583194152,0,16,1,0.77
PJ,2024,Net,Forecast,FR,19368435126,9244685972,-1338508180,16,6,0.77
PJ,2024,Op,Actual,FR,22985806321,8448803334,-2808521444,16,12,0.89
PJ,2024,Op,Budget,FR,25155146106,11257324778,0,17,1,1.03
PJ,2024,Op,Forecast,FR,20399158047,7830433111,-3426891667,15,8,0.79
PJ,2025,Gross,Actual,FR,30288330000,13430030000,4518149358,14,21,1.01
PJ,2025,Gross,Budget,FR,19834959561,8911880642,0,17,1,0.98
PJ,2025,Gross,Forecast,FR,22084128321,9587729964,675849322,15,17,0.97
PJ,2025,Net,Actual,FR,26716010000,11350920000,3291670884,15,20,0.8
PJ,2025,Net,Budget,FR,20199978400,8059249116,0,15,1,0.87
PJ,2025,Net,Forecast,FR,21756866875,11809420149,3750171033,15,29,0.91
PJ,2025,Op,Actual,FR,26716010000,11350920000,-53051454,15,7,0.8
PJ,2025,Op,Budget,FR,24578145604,11403971454,0,18,1,0.89
PJ,2025,Op,Forecast,FR,22497775163,9568976598,-1834994856,17,12,0.92
CDE,2024,Gross,Actual,ID,17983564139,9418289099,420783395,19,21,0.78
CDE,2024,Gross,Budget,ID,20321653626,8997505704,0,18,1,0.87
CDE,2024,Gross,Forecast,ID,21315727468,9796820085,799314381,16,22,0.98
CDE,2024,Net,Actual,ID,13548066499,7733655571,-1129415305,20,8,0.54
CDE,2024,Net,Budget,ID,14001811999,8863070876,0,20,1,0.58
CDE,2024,Net,Forecast,ID,17703058753,8319324344,-543746532,18,12,0.72
CDE,2024,Op,Actual,ID,10937298975,5174787110,-4041954597,20,5,0.45
CDE,2024,Op,Budget,ID,13790445321,9216741707,0,19,1,0.58
CDE,2024,Op,Forecast,ID,22519164703,12948266528,3731524821,17,29,1.02
CDE,2025,Gross,Actual,ID,13890952999,5820673324,-1225493846,20,11,0.75
CDE,2025,Gross,Budget,ID,13032803553,7046167170,0,19,1,0.52
CDE,2025,Gross,Forecast,ID,19447587486,13575292449,6529125279,17,30,0.96
CDE,2025,Net,Actual,ID,18646814684,8230927401,-866774735,18,15,0.79
CDE,2025,Net,Budget,ID,15323534211,9097702136,0,20,1,0.63
CDE,2025,Net,Forecast,ID,13913052482,7258676774,-1839025362,20,12,0.63
CDE,2025,Op,Actual,ID,18807557195,9009293389,-1636908498,17,8,0.82
CDE,2025,Op,Budget,ID,17803846331,10646201887,0,18,1,0.72
CDE,2025,Op,Forecast,ID,8891646309,3012649034,-7633552853,21,5,0.35
PJ,2024,Gross,Actual,ID,10976210436,3916669349,-6744117002,21,5,0.48
PJ,2024,Gross,Budget,ID,15247997008,10660786351,0,19,1,0.64
PJ,2024,Gross,Forecast,ID,15056544419,7732071431,-2928714920,20,9,0.68
PJ,2024,Net,Actual,ID,16753563828,5838335800,-4121451810,18,7,0.67
PJ,2024,Net,Budget,ID,17966418920,9959787610,0,18,1,0.7
PJ,2024,Net,Forecast,ID,19004979222,11295224330,1335436720,17,21,0.76
PJ,2024,Op,Actual,ID,13331771702,9045483642,-1949753558,20,14,0.52
PJ,2024,Op,Budget,ID,21676797021,10995237200,0,18,1,0.89
PJ,2024,Op,Forecast,ID,18731032223,11183091736,187854536,16,18,0.73
PJ,2025,Gross,Actual,ID,22011422800,11180609400,2140752919,17,14,0.74
PJ,2025,Gross,Budget,ID,18784741194,9039856481,0,18,1,0.93
PJ,2025,Gross,Forecast,ID,17647230570,10582756360,1542899879,18,20,0.77
PJ,2025,Net,Actual,ID,21209014600,11143678200,-377656329,17,3,0.63
PJ,2025,Net,Budget,ID,16728736724,11521334529,0,17,1,0.72
PJ,2025,Net,Forecast,ID,9967930612,4213786926,-7307547603,20,5,0.42
PJ,2025,Op,Actual,ID,21209014600,11143678200,4306026758,17,26,0.63
PJ,2025,Op,Budget,ID,14425792136,6837651442,0,19,1,0.52
PJ,2025,Op,Forecast,ID,16523883804,8619924683,1782273241,20,31,0.67
CDE,2024,Gross,Actual,IN,29903486882,21745135717,124659478,12,19,1.3
CDE,2024,Gross,Budget,IN,31696023601,21620476239,0,14,1,1.35
CDE,2024,Gross,Forecast,IN,24764160049,16776611216,-4843865023,15,5,1.13
CDE,2024,Net,Actual,IN,30295420993,15004898114,-57569767,14,13,1.2
CDE,2024,Net,Budget,IN,26436166017,15062467881,0,14,1,1.09
CDE,2024,Net,Forecast,IN,36250199999,23545855012,8483387131,13,27,1.47
CDE,2024,Op,Actual,IN,32614874697,15973782998,-7149126060,13,3,1.35
CDE,2024,Op,Budget,IN,36138748491,23122909058,0,11,1,1.52
CDE,2024,Op,Forecast,IN,27010456658,15543542190,-7579366868,14,3,1.22
CDE,2025,Gross,Actual,IN,26072643313,10441085757,-8108350641,14,5,1.41
CDE,2025,Gross,Budget,IN,26579846750,18549436398,0,14,1,1.07
CDE,2025,Gross,Forecast,IN,29495097960,18393984336,-155452062,12,17,1.46
CDE,2025,Net,Actual,IN,23179756521,9638968101,-1999263645,17,12,0.98
CDE,2025,Net,Budget,IN,26152193212,11638231746,0,14,1,1.07
CDE,2025,Net,Forecast,IN,31104102252,18519802588,6881570842,14,31,1.41
CDE,2025,Op,Actual,IN,33861715397,18505631359,1832861476,12,24,1.48
CDE,2025,Op,Budget,IN,30930837253,16672769883,0,12,1,1.25
CDE,2025,Op,Forecast,IN,24410955870,13666589632,-3006180251,15,9,0.97
PJ,2024,Gross,Actual,IN,31655764937,18029562104,3941416314,13,29,1.38
PJ,2024,Gross,Budget,IN,26674438538,14088145790,0,13,1,1.13
PJ,2024,Gross,Forecast,IN,32461739080,21044221036,6956075246,11,32,1.47
PJ,2024,Net,Actual,IN,33635555736,19268071059,2074417354,12,27,1.35
PJ,2024,Net,Budget,IN,25059473693,17193653705,0,13,1,0.98
PJ,2024,Net,Forecast,IN,34064792540,20599577913,3405924208,13,27,1.36
