region,product,year,rev_op_type,sales_budget_type,month,amount,mom_growth,vs_budget,seasonal_index
AZ,CDE,2024,Net,Forecast,Dec,69730252,0.3734,-25267891,0.0201
AZ,CDE,2024,Op,Actual,Jan,1131419167,,682126937,0.2448
AZ,CDE,2024,Op,Actual,Feb,118278052,0.1045,87379875,0.0256
AZ,CDE,2024,Op,Actual,Mar,75242052,0.6361,-698625592,0.0163
AZ,CDE,2024,Op,Actual,Apr,84729115,1.1261,80743039,0.0183
AZ,CDE,2024,Op,Actual,May,1921240173,22.6751,304633864,0.4156
AZ,CDE,2024,Op,Actual,Jun,286495425,0.1491,-92995628,0.062
AZ,CDE,2024,Op,Actual,Jul,682342540,2.3817,-164488125,0.1476
AZ,CDE,2024,Op,Actual,Aug,2980804,0.0044,-71686420,0.0006
AZ,CDE,2024,Op,Actual,Sep,132798826,44.5513,-1908935054,0.0287
AZ,CDE,2024,Op,Actual,Oct,12266383,0.0924,-50621182,0.0027
AZ,CDE,2024,Op,Actual,Nov,17476221,1.4247,-701312391,0.0038
AZ,CDE,2024,Op,Actual,Dec,157453649,9.0096,31057490,0.0341
AZ,CDE,2024,Op,Budget,Jan,449292230,,0,0.0631
AZ,CDE,2024,Op,Budget,Feb,30898177,0.0688,0,0.0043
AZ,CDE,2024,Op,Budget,Mar,773867644,25.0457,0,0.1086
AZ,CDE,2024,Op,Budget,Apr,3986076,0.0052,0,0.0006
AZ,CDE,2024,Op,Budget,May,1616606309,405.5633,0,0.2269
AZ,CDE,2024,Op,Budget,Jun,379491053,0.2347,0,0.0533
AZ,CDE,2024,Op,Budget,Jul,846830665,2.2315,0,0.1188
AZ,CDE,2024,Op,Budget,Aug,74667224,0.0882,0,0.0105
AZ,CDE,2024,Op,Budget,Sep,2041733880,27.3444,0,0.2865
AZ,CDE,2024,Op,Budget,Oct,62887565,0.0308,0,0.0088
AZ,CDE,2024,Op,Budget,Nov,718788612,11.4297,0,0.1009
AZ,CDE,2024,Op,Budget,Dec,126396159,0.1758,0,0.0177
AZ,CDE,2024,Op,Forecast,Jan,677233556,,227941326,0.1854
AZ,CDE,2024,Op,Forecast,Feb,43381335,0.0641,12483158,0.0119
AZ,CDE,2024,Op,Forecast,Mar,605472856,13.957,-168394788,0.1657
AZ,CDE,2024,Op,Forecast,Apr,62049739,0.1025,58063663,0.017
AZ,CDE,2024,Op,Forecast,May,468809326,7.5554,-1147796983,0.1283
AZ,CDE,2024,Op,Forecast,Jun,131494819,0.2805,-247996234,0.036
AZ,CDE,2024,Op,Forecast,Jul,698334802,5.3107,-148495863,0.1911
AZ,CDE,2024,Op,Forecast,Aug,16327239,0.0234,-58339985,0.0045
AZ,CDE,2024,Op,Forecast,Sep,697143632,42.6982,-1344590248,0.1908
AZ,CDE,2024,Op,Forecast,Oct,47499176,0.0681,-15388389,0.013
AZ,CDE,2024,Op,Forecast,Nov,170795560,3.5958,-547993052,0.0467
AZ,CDE,2024,Op,Forecast,Dec,34972499,0.2048,-91423660,0.0096
AZ,CDE,2025,Gross,Actual,Jan,152524735,,-327011228,0.0379
AZ,CDE,2025,Gross,Actual,Feb,115451184,0.7569,-84555116,0.0287
AZ,CDE,2025,Gross,Actual,Mar,380727086,3.2977,196708064,0.0946
AZ,CDE,2025,Gross,Actual,Apr,174416418,0.4581,118871508,0.0433
AZ,CDE,2025,Gross,Actual,May,1329145385,7.6205,-153090030,0.3303
AZ,CDE,2025,Gross,Actual,Jun,119785330,0.0901,-77988305,0.0298
AZ,CDE,2025,Gross,Actual,Jul,549326873,4.5859,255797170,0.1365
AZ,CDE,2025,Gross,Actual,Aug,38615822,0.0703,-109829271,0.0096
AZ,CDE,2025,Gross,Actual,Sep,234973530,6.0849,-1880105262,0.0584
AZ,CDE,2025,Gross,Actual,Oct,69085452,0.294,-4237424,0.0172
AZ,CDE,2025,Gross,Actual,Nov,752055357,10.8859,-227566642,0.1869
AZ,CDE,2025,Gross,Actual,Dec,108317190,0.144,101347804,0.0269
AZ,CDE,2025,Gross,Budget,Jan,479535963,,0,0.0771
AZ,CDE,2025,Gross,Budget,Feb,200006300,0.4171,0,0.0322
AZ,CDE,2025,Gross,Budget,Mar,184019022,0.9201,0,0.0296
AZ,CDE,2025,Gross,Budget,Apr,55544910,0.3018,0,0.0089
AZ,CDE,2025,Gross,Budget,May,1482235415,26.6854,0,0.2385
AZ,CDE,2025,Gross,Budget,Jun,197773635,0.1334,0,0.0318
AZ,CDE,2025,Gross,Budget,Jul,293529703,1.4842,0,0.0472
AZ,CDE,2025,Gross,Budget,Aug,148445093,0.5057,0,0.0239
AZ,CDE,2025,Gross,Budget,Sep,2115078792,14.2482,0,0.3403
AZ,CDE,2025,Gross,Budget,Oct,73322876,0.0347,0,0.0118
AZ,CDE,2025,Gross,Budget,Nov,979621999,13.3604,0,0.1576
AZ,CDE,2025,Gross,Budget,Dec,6969386,0.0071,0,0.0011
AZ,CDE,2025,Gross,Forecast,Jan,637623412,,158087449,0.1085
AZ,CDE,2025,Gross,Forecast,Feb,134066305,0.2103,-65939995,0.0228
AZ,CDE,2025,Gross,Forecast,Mar,600774384,4.4812,416755362,0.1022
AZ,CDE,2025,Gross,Forecast,Apr,86809088,0.1445,31264178,0.0148
AZ,CDE,2025,Gross,Forecast,May,1459515345,16.8129,-22720070,0.2483
AZ,CDE,2025,Gross,Forecast,Jun,332160544,0.2276,134386909,0.0565
AZ,CDE,2025,Gross,Forecast,Jul,478241772,1.4398,184712069,0.0814
AZ,CDE,2025,Gross,Forecast,Aug,157343275,0.329,8898182,0.0268
AZ,CDE,2025,Gross,Forecast,Sep,1794538853,11.4052,-320539939,0.3053
AZ,CDE,2025,Gross,Forecast,Oct,98161666,0.0547,24838790,0.0167
AZ,CDE,2025,Gross,Forecast,Nov,89579119,0.9126,-890042880,0.0152
AZ,CDE,2025,Gross,Forecast,Dec,8923109,0.0996,1953723,0.0015
AZ,CDE,2025,Net,Actual,Jan,522015206,,301924688,0.1186
AZ,CDE,2025,Net,Actual,Feb,54713016,0.1048,35970517,0.0124
AZ,CDE,2025,Net,Actual,Mar,1083483900,19.803,427782268,0.2462
AZ,CDE,2025,Net,Actual,Apr,61640050,0.0569,-18294649,0.014
AZ,CDE,2025,Net,Actual,May,1111430610,18.031,-857471639,0.2526
AZ,CDE,2025,Net,Actual,Jun,9550642,0.0086,-149131364,0.0022
AZ,CDE,2025,Net,Actual,Jul,884515171,92.6132,719618737,0.201
AZ,CDE,2025,Net,Actual,Aug,75387401,0.0852,-40791801,0.0171
AZ,CDE,2025,Net,Actual,Sep,427142262,5.666,215113703,0.0971
AZ,CDE,2025,Net,Actual,Oct,32852830,0.0769,22506746,0.0075
AZ,CDE,2025,Net,Actual,Nov,59541246,1.8124,-30536601,0.0135
AZ,CDE,2025,Net,Actual,Dec,77703242,1.305,15405799,0.0177
AZ,CDE,2025,Net,Budget,Jan,220090518,,0,0.0586
AZ,CDE,2025,Net,Budget,Feb,18742499,0.0852,0,0.005
AZ,CDE,2025,Net,Budget,Mar,655701632,34.9847,0,0.1745
AZ,CDE,2025,Net,Budget,Apr,79934699,0.1219,0,0.0213
AZ,CDE,2025,Net,Budget,May,1968902249,24.6314,0,0.5239
AZ,CDE,2025,Net,Budget,Jun,158682006,0.0806,0,0.0422
AZ,CDE,2025,Net,Budget,Jul,164896434,1.0392,0,0.0439
AZ,CDE,2025,Net,Budget,Aug,116179202,0.7046,0,0.0309
AZ,CDE,2025,Net,Budget,Sep,212028559,1.825,0,0.0564
AZ,CDE,2025,Net,Budget,Oct,10346084,0.0488,0,0.0028
AZ,CDE,2025,Net,Budget,Nov,90077847,8.7065,0,0.024
AZ,CDE,2025,Net,Budget,Dec,62297443,0.6916,0,0.0166
AZ,CDE,2025,Net,Forecast,Jan,564767956,,344677438,0.0864
AZ,CDE,2025,Net,Forecast,Feb,77703894,0.1376,58961395,0.0119
AZ,CDE,2025,Net,Forecast,Mar,137316251,1.7672,-518385381,0.021
AZ,CDE,2025,Net,Forecast,Apr,109768275,0.7994,29833576,0.0168
AZ,CDE,2025,Net,Forecast,May,1996217300,18.1857,27315051,0.3054
AZ,CDE,2025,Net,Forecast,Jun,54748300,0.0274,-103933706,0.0084
AZ,CDE,2025,Net,Forecast,Jul,939411809,17.1587,774515375,0.1437
AZ,CDE,2025,Net,Forecast,Aug,42024271,0.0447,-74154931,0.0064
AZ,CDE,2025,Net,Forecast,Sep,1860670104,44.2761,1648641545,0.2846
AZ,CDE,2025,Net,Forecast,Oct,9521670,0.0051,-824414,0.0015
AZ,CDE,2025,Net,Forecast,Nov,693065788,72.7883,602987941,0.106
AZ,CDE,2025,Net,Forecast,Dec,51548903,0.0744,-10748540,0.0079
AZ,CDE,2025,Op,Actual,Jan,1161459453,,786139262,0.1641
AZ,CDE,2025,Op,Actual,Feb,58399207,0.0503,13487767,0.0083
AZ,CDE,2025,Op,Actual,Mar,1170788692,20.048,-423173597,0.1654
AZ,CDE,2025,Op,Actual,Apr,95625157,0.0817,88580435,0.0135
AZ,CDE,2025,Op,Actual,May,2008706827,21.006,1534015910,0.2838
AZ,CDE,2025,Op,Actual,Jun,186375098,0.0928,99208921,0.0263
AZ,CDE,2025,Op,Actual,Jul,296971287,1.5934,-153419028,0.042
AZ,CDE,2025,Op,Actual,Aug,91655489,0.3086,17898404,0.0129
AZ,CDE,2025,Op,Actual,Sep,861763345,9.4022,-1104052278,0.1218
AZ,CDE,2025,Op,Actual,Oct,42999933,0.0499,-11558611,0.0061
AZ,CDE,2025,Op,Actual,Nov,967188967,22.4928,150443695,0.1367
AZ,CDE,2025,Op,Actual,Dec,135842221,0.1405,23547073,0.0192
AZ,CDE,2025,Op,Budget,Jan,375320191,,0,0.062
AZ,CDE,2025,Op,Budget,Feb,44911440,0.1197,0,0.0074
AZ,CDE,2025,Op,Budget,Mar,1593962289,35.4912,0,0.2632
AZ,CDE,2025,Op,Budget,Apr,7044722,0.0044,0,0.0012
AZ,CDE,2025,Op,Budget,May,474690917,67.3825,0,0.0784
AZ,CDE,2025,Op,Budget,Jun,87166177,0.1836,0,0.0144
AZ,CDE,2025,Op,Budget,Jul,450390315,5.167,0,0.0744
AZ,CDE,2025,Op,Budget,Aug,73757085,0.1638,0,0.0122
AZ,CDE,2025,Op,Budget,Sep,1965815623,26.6526,0,0.3246
AZ,CDE,2025,Op,Budget,Oct,54558544,0.0278,0,0.009
AZ,CDE,2025,Op,Budget,Nov,816745272,14.9701,0,0.1349
AZ,CDE,2025,Op,Budget,Dec,112295148,0.1375,0,0.0185
AZ,CDE,2025,Op,Forecast,Jan,298017662,,-77302529,0.0558
AZ,CDE,2025,Op,Forecast,Feb,85158425,0.2857,40246985,0.0159
AZ,CDE,2025,Op,Forecast,Mar,1180254661,13.8595,-413707628,0.221
AZ,CDE,2025,Op,Forecast,Apr,17866868,0.0151,10822146,0.0033
AZ,CDE,2025,Op,Forecast,May,724215061,40.534,249524144,0.1356
AZ,CDE,2025,Op,Forecast,Jun,258276609,0.3566,171110432,0.0484
AZ,CDE,2025,Op,Forecast,Jul,910801217,3.5265,460410902,0.1706
AZ,CDE,2025,Op,Forecast,Aug,14717904,0.0162,-59039181,0.0028
AZ,CDE,2025,Op,Forecast,Sep,1393528098,94.6825,-572287525,0.261
AZ,CDE,2025,Op,Forecast,Oct,30321421,0.0218,-24237123,0.0057
AZ,CDE,2025,Op,Forecast,Nov,339556717,11.1986,-477188555,0.0636
AZ,CDE,2025,Op,Forecast,Dec,87152791,0.2567,-25142357,0.0163
AZ,PJ,2024,Gross,Actual,Jan,677466099,,-189502043,0.139
AZ,PJ,2024,Gross,Actual,Feb,156906432,0.2316,124177413,0.0322
AZ,PJ,2024,Gross,Actual,Mar,522532831,3.3302,273503118,0.1072
AZ,PJ,2024,Gross,Actual,Apr,142273310,0.2723,60558173,0.0292
AZ,PJ,2024,Gross,Actual,May,1284937260,9.0315,1128595698,0.2636
AZ,PJ,2024,Gross,Actual,Jun,206629942,0.1608,110331514,0.0424
AZ,PJ,2024,Gross,Actual,Jul,700738324,3.3913,613900062,0.1437
AZ,PJ,2024,Gross,Actual,Aug,101126905,0.1443,8173849,0.0207
AZ,PJ,2024,Gross,Actual,Sep,391890619,3.8752,-1169987855,0.0804
AZ,PJ,2024,Gross,Actual,Oct,120182685,0.3067,83293353,0.0247
AZ,PJ,2024,Gross,Actual,Nov,436642802,3.6332,84659206,0.0896
AZ,PJ,2024,Gross,Actual,Dec,134091187,0.3071,52094732,0.0275
AZ,PJ,2024,Gross,Budget,Jan,866968142,,0,0.2346
AZ,PJ,2024,Gross,Budget,Feb,32729019,0.0378,0,0.0089
AZ,PJ,2024,Gross,Budget,Mar,249029713,7.6088,0,0.0674
AZ,PJ,2024,Gross,Budget,Apr,81715137,0.3281,0,0.0221
AZ,PJ,2024,Gross,Budget,May,156341562,1.9133,0,0.0423
AZ,PJ,2024,Gross,Budget,Jun,96298428,0.6159,0,0.0261
AZ,PJ,2024,Gross,Budget,Jul,86838262,0.9018,0,0.0235
AZ,PJ,2024,Gross,Budget,Aug,92953056,1.0704,0,0.0252
AZ,PJ,2024,Gross,Budget,Sep,1561878474,16.8029,0,0.4226
AZ,PJ,2024,Gross,Budget,Oct,36889332,0.0236,0,0.01
AZ,PJ,2024,Gross,Budget,Nov,351983596,9.5416,0,0.0952
AZ,PJ,2024,Gross,Budget,Dec,81996455,0.233,0,0.0222
AZ,PJ,2024,Gross,Forecast,Jan,564862421,,-302105721,0.1061
AZ,PJ,2024,Gross,Forecast,Feb,235691426,0.4173,202962407,0.0443
AZ,PJ,2024,Gross,Forecast,Mar,466180053,1.9779,217150340,0.0876
AZ,PJ,2024,Gross,Forecast,Apr,85332753,0.183,3617616,0.016
AZ,PJ,2024,Gross,Forecast,May,2033106001,23.8256,1876764439,0.382
AZ,PJ,2024,Gross,Forecast,Jun,31756184,0.0156,-64542244,0.006
AZ,PJ,2024,Gross,Forecast,Jul,973619784,30.6592,886781522,0.1829
AZ,PJ,2024,Gross,Forecast,Aug,87391710,0.0898,-5561346,0.0164
AZ,PJ,2024,Gross,Forecast,Sep,552855435,6.3262,-1009023039,0.1039
AZ,PJ,2024,Gross,Forecast,Oct,41803332,0.0756,4914000,0.0079
AZ,PJ,2024,Gross,Forecast,Nov,127623608,3.053,-224359988,0.024
AZ,PJ,2024,Gross,Forecast,Dec,122424519,0.9593,40428064,0.023
AZ,PJ,2024,Net,Actual,Jan,705091564,,-240252021,0.1103
AZ,PJ,2024,Net,Actual,Feb,33330491,0.0473,-49604557,0.0052
AZ,PJ,2024,Net,Actual,Mar,487032539,14.6122,-758614282,0.0762
AZ,PJ,2024,Net,Actual,Apr,125597522,0.2579,32494906,0.0197
AZ,PJ,2024,Net,Actual,May,1888443183,15.0357,1094426467,0.2955
AZ,PJ,2024,Net,Actual,Jun,100058969,0.053,6497884,0.0157
AZ,PJ,2024,Net,Actual,Jul,898558428,8.9803,103562195,0.1406
AZ,PJ,2024,Net,Actual,Aug,115619702,0.1287,20473379,0.0181
AZ,PJ,2024,Net,Actual,Sep,1750901150,15.1436,430926004,0.274
AZ,PJ,2024,Net,Actual,Oct,87866384,0.0502,-1887170,0.0137
AZ,PJ,2024,Net,Actual,Nov,88246529,1.0043,-102087426,0.0138
AZ,PJ,2024,Net,Actual,Dec,109869876,1.245,46241652,0.0172
AZ,PJ,2024,Net,Budget,Jan,945343585,,0,0.1628
AZ,PJ,2024,Net,Budget,Feb,82935048,0.0877,0,0.0143
AZ,PJ,2024,Net,Budget,Mar,1245646821,15.0195,0,0.2145
AZ,PJ,2024,Net,Budget,Apr,93102616,0.0747,0,0.016
AZ,PJ,2024,Net,Budget,May,794016716,8.5284,0,0.1367
AZ,PJ,2024,Net,Budget,Jun,93561085,0.1178,0,0.0161
AZ,PJ,2024,Net,Budget,Jul,794996233,8.4971,0,0.1369
AZ,PJ,2024,Net,Budget,Aug,95146323,0.1197,0,0.0164
AZ,PJ,2024,Net,Budget,Sep,1319975146,13.8731,0,0.2273
AZ,PJ,2024,Net,Budget,Oct,89753554,0.068,0,0.0155
AZ,PJ,2024,Net,Budget,Nov,190333955,2.1206,0,0.0328
AZ,PJ,2024,Net,Budget,Dec,63628224,0.3343,0,0.011
AZ,PJ,2024,Net,Forecast,Jan,21438139,,-923905446,0.0071
AZ,PJ,2024,Net,Forecast,Feb,113219372,5.2812,30284324,0.0372
AZ,PJ,2024,Net,Forecast,Mar,25606386,0.2262,-1220040435,0.0084
AZ,PJ,2024,Net,Forecast,Apr,14713828,0.5746,-78388788,0.0048
AZ,PJ,2024,Net,Forecast,May,951614368,64.6748,157597652,0.313
AZ,PJ,2024,Net,Forecast,Jun,218417855,0.2295,124856770,0.0718
AZ,PJ,2024,Net,Forecast,Jul,230614116,1.0558,-564382117,0.0758
AZ,PJ,2024,Net,Forecast,Aug,76029159,0.3297,-19117164,0.025
AZ,PJ,2024,Net,Forecast,Sep,1029276654,13.5379,-290698492,0.3385
AZ,PJ,2024,Net,Forecast,Oct,105621430,0.1026,15867876,0.0347
AZ,PJ,2024,Net,Forecast,Nov,186733172,1.7679,-3600783,0.0614
AZ,PJ,2024,Net,Forecast,Dec,67254776,0.3602,3626552,0.0221
AZ,PJ,2024,Op,Actual,Jan,628496489,,619302935,0.1619
AZ,PJ,2024,Op,Actual,Feb,77115837,0.1227,68641774,0.0199
AZ,PJ,2024,Op,Actual,Mar,398553436,5.1682,-337496638,0.1027
AZ,PJ,2024,Op,Actual,Apr,121546233,0.305,117670837,0.0313
AZ,PJ,2024,Op,Actual,May,1191792419,9.8053,114281447,0.3071
AZ,PJ,2024,Op,Actual,Jun,146169867,0.1226,-153280976,0.0377
AZ,PJ,2024,Op,Actual,Jul,130527711,0.893,-548632426,0.0336
AZ,PJ,2024,Op,Actual,Aug,98830635,0.7572,10115440,0.0255
AZ,PJ,2024,Op,Actual,Sep,69729808,0.7055,-1980386963,0.018
AZ,PJ,2024,Op,Actual,Oct,119461364,1.7132,38189776,0.0308
AZ,PJ,2024,Op,Actual,Nov,878288075,7.3521,431510603,0.2263
AZ,PJ,2024,Op,Actual,Dec,20456411,0.0233,-36769180,0.0053
AZ,PJ,2024,Op,Budget,Jan,9193554,,0,0.0017
AZ,PJ,2024,Op,Budget,Feb,8474063,0.9217,0,0.0015
AZ,PJ,2024,Op,Budget,Mar,736050074,86.8592,0,0.1329
AZ,PJ,2024,Op,Budget,Apr,3875396,0.0053,0,0.0007
AZ,PJ,2024,Op,Budget,May,1077510972,278.0389,0,0.1946
AZ,PJ,2024,Op,Budget,Jun,299450843,0.2779,0,0.0541
AZ,PJ,2024,Op,Budget,Jul,679160137,2.268,0,0.1226
AZ,PJ,2024,Op,Budget,Aug,88715195,0.1306,0,0.016
AZ,PJ,2024,Op,Budget,Sep,2050116771,23.109,0,0.3702
AZ,PJ,2024,Op,Budget,Oct,81271588,0.0396,0,0.0147
AZ,PJ,2024,Op,Budget,Nov,446777472,5.4973,0,0.0807
AZ,PJ,2024,Op,Budget,Dec,57225591,0.1281,0,0.0103
AZ,PJ,2024,Op,Forecast,Jan,677460607,,668267053,0.0963
AZ,PJ,2024,Op,Forecast,Feb,53848264,0.0795,45374201,0.0077
AZ,PJ,2024,Op,Forecast,Mar,1727275956,32.0767,991225882,0.2456
AZ,PJ,2024,Op,Forecast,Apr,70129466,0.0406,66254070,0.01
AZ,PJ,2024,Op,Forecast,May,901592595,12.8561,-175918377,0.1282
AZ,PJ,2024,Op,Forecast,Jun,335000316,0.3716,35549473,0.0476
AZ,PJ,2024,Op,Forecast,Jul,777374984,2.3205,98214847,0.1105
AZ,PJ,2024,Op,Forecast,Aug,96545181,0.1242,7829986,0.0137
AZ,PJ,2024,Op,Forecast,Sep,1957011937,20.2704,-93104834,0.2783
AZ,PJ,2024,Op,Forecast,Oct,48503255,0.0248,-32768333,0.0069
AZ,PJ,2024,Op,Forecast,Nov,345568648,7.1246,-101208824,0.0491
AZ,PJ,2024,Op,Forecast,Dec,42771208,0.1238,-14454383,0.0061
AZ,PJ,2025,Gross,Actual,Jan,797890000,,321724840,0.106
AZ,PJ,2025,Gross,Actual,Feb,161010000,0.2018,-2158819,0.0214
AZ,PJ,2025,Gross,Actual,Mar,1349510000,8.3815,573778715,0.1792
AZ,PJ,2025,Gross,Actual,Apr,120080000,0.089,92785145,0.0159
AZ,PJ,2025,Gross,Actual,May,1376500000,11.4632,371549041,0.1828
AZ,PJ,2025,Gross,Actual,Jun,328138800,0.2384,-76519323,0.0436
AZ,PJ,2025,Gross,Actual,Jul,688490000,2.0982,-224996448,0.0914
AZ,PJ,2025,Gross,Actual,Aug,112260000,0.1631,16073089,0.0149
AZ,PJ,2025,Gross,Actual,Sep,1680431600,14.9691,1390695773,0.2231
AZ,PJ,2025,Gross,Actual,Oct,105898700,0.063,34804100,0.0141
AZ,PJ,2025,Gross,Actual,Nov,691672900,6.5315,81783645,0.0918
AZ,PJ,2025,Gross,Actual,Dec,118851300,0.1718,23088991,0.0158
AZ,PJ,2025,Gross,Budget,Jan,476165160,,0,0.0966
AZ,PJ,2025,Gross,Budget,Feb,163168819,0.3427,0,0.0331
AZ,PJ,2025,Gross,Budget,Mar,775731285,4.7542,0,0.1574
AZ,PJ,2025,Gross,Budget,Apr,27294855,0.0352,0,0.0055
AZ,PJ,2025,Gross,Budget,May,1004950959,36.8183,0,0.2039
AZ,PJ,2025,Gross,Budget,Jun,404658123,0.4027,0,0.0821
AZ,PJ,2025,Gross,Budget,Jul,913486448,2.2574,0,0.1854
AZ,PJ,2025,Gross,Budget,Aug,96186911,0.1053,0,0.0195
AZ,PJ,2025,Gross,Budget,Sep,289735827,3.0122,0,0.0588
AZ,PJ,2025,Gross,Budget,Oct,71094600,0.2454,0,0.0144
AZ,PJ,2025,Gross,Budget,Nov,609889255,8.5786,0,0.1238
AZ,PJ,2025,Gross,Budget,Dec,95762309,0.157,0,0.0194
AZ,PJ,2025,Gross,Forecast,Jan,108403305,,-367761855,0.02
