product,year,region,rev_op_type,sales_budget_type,month,amount
CDE,2024,AZ,Gross,Forecast,Sep,302899086
CDE,2024,AZ,Net,Actual,Apr,45846128
CDE,2024,AZ,Net,Actual,Aug,64498839
CDE,2024,AZ,Net,Actual,Dec,90107053
CDE,2024,AZ,Net,Actual,Feb,62746326
CDE,2024,AZ,Net,Actual,Jan,983041046
CDE,2024,AZ,Net,Actual,Jul,523434898
CDE,2024,AZ,Net,Actual,Jun,222845332
CDE,2024,AZ,Net,Actual,Mar,753830592
CDE,2024,AZ,Net,Actual,May,641281584
CDE,2024,AZ,Net,Actual,Nov,842176767
CDE,2024,AZ,Net,Actual,Oct,88883548
CDE,2024,AZ,Net,Actual,Sep,2300795452
CDE,2024,AZ,Net,Budget,Apr,3190786
CDE,2024,AZ,Net,Budget,Aug,116976646
CDE,2024,AZ,Net,Budget,Dec,94998143
CDE,2024,AZ,Net,Budget,Feb,81796890
CDE,2024,AZ,Net,Budget,Jan,349602160
CDE,2024,AZ,Net,Budget,Jul,350169820
CDE,2024,AZ,Net,Budget,Jun,62642252
CDE,2024,AZ,Net,Budget,Mar,370824958
CDE,2024,AZ,Net,Budget,May,1562252797
CDE,2024,AZ,Net,Budget,Nov,439320372
CDE,2024,AZ,Net,Budget,Oct,100121989
CDE,2024,AZ,Net,Budget,Sep,2085928241
CDE,2024,AZ,Net,Forecast,Apr,41928259
CDE,2024,AZ,Net,Forecast,Aug,107574
CDE,2024,AZ,Net,Forecast,Dec,69730252
CDE,2024,AZ,Net,Forecast,Feb,15191985
CDE,2024,AZ,Net,Forecast,Jan,253232881
CDE,2024,AZ,Net,Forecast,Jul,476545589
CDE,2024,AZ,Net,Forecast,Jun,348319089
CDE,2024,AZ,Net,Forecast,Mar,66411342
CDE,2024,AZ,Net,Forecast,May,626637922
CDE,2024,AZ,Net,Forecast,Nov,186761199
CDE,2024,AZ,Net,Forecast,Oct,19154536
CDE,2024,AZ,Net,Forecast,Sep,1373341420
CDE,2024,AZ,Op,Actual,Apr,84729115
CDE,2024,AZ,Op,Actual,Aug,2980804
CDE,2024,AZ,Op,Actual,Dec,157453649
CDE,2024,AZ,Op,Actual,Feb,118278052
CDE,2024,AZ,Op,Actual,Jan,1131419167
CDE,2024,AZ,Op,Actual,Jul,682342540
CDE,2024,AZ,Op,Actual,Jun,286495425
CDE,2024,AZ,Op,Actual,Mar,75242052
CDE,2024,AZ,Op,Actual,May,1921240173
CDE,2024,AZ,Op,Actual,Nov,17476221
CDE,2024,AZ,Op,Actual,Oct,12266383
CDE,2024,AZ,Op,Actual,Sep,132798826
CDE,2024,AZ,Op,Budget,Apr,3986076
CDE,2024,AZ,Op,Budget,Aug,74667224
CDE,2024,AZ,Op,Budget,Dec,126396159
CDE,2024,AZ,Op,Budget,Feb,30898177
CDE,2024,AZ,Op,Budget,Jan,449292230
CDE,2024,AZ,Op,Budget,Jul,846830665
CDE,2024,AZ,Op,Budget,Jun,379491053
CDE,2024,AZ,Op,Budget,Mar,773867644
CDE,2024,AZ,Op,Budget,May,1616606309
CDE,2024,AZ,Op,Budget,Nov,718788612
CDE,2024,AZ,Op,Budget,Oct,62887565
CDE,2024,AZ,Op,Budget,Sep,2041733880
CDE,2024,AZ,Op,Forecast,Apr,62049739
CDE,2024,AZ,Op,Forecast,Aug,16327239
CDE,2024,AZ,Op,Forecast,Dec,34972499
CDE,2024,AZ,Op,Forecast,Feb,43381335
CDE,2024,AZ,Op,Forecast,Jan,677233556
CDE,2024,AZ,Op,Forecast,Jul,698334802
CDE,2024,AZ,Op,Forecast,Jun,131494819
CDE,2024,AZ,Op,Forecast,Mar,605472856
CDE,2024,AZ,Op,Forecast,May,468809326
CDE,2024,AZ,Op,Forecast,Nov,170795560
CDE,2024,AZ,Op,Forecast,Oct,47499176
CDE,2024,AZ,Op,Forecast,Sep,697143632
CDE,2024,BD+,Gross,Actual,Apr,1024653126
CDE,2024,BD+,Gross,Actual,Aug,970531176
CDE,2024,BD+,Gross,Actual,Dec,1313724418
CDE,2024,BD+,Gross,Actual,Feb,409467833
CDE,2024,BD+,Gross,Actual,Jan,438862277
CDE,2024,BD+,Gross,Actual,Jul,1279890600
CDE,2024,BD+,Gross,Actual,Jun,3121238980
CDE,2024,BD+,Gross,Actual,Mar,1121650193
CDE,2024,BD+,Gross,Actual,May,1253152510
CDE,2024,BD+,Gross,Actual,Nov,3775822405
CDE,2024,BD+,Gross,Actual,Oct,1611292662
CDE,2024,BD+,Gross,Actual,Sep,2036805577
CDE,2024,BD+,Gross,Budget,Apr,365064556
CDE,2024,BD+,Gross,Budget,Aug,1360737084
CDE,2024,BD+,Gross,Budget,Dec,746354747
CDE,2024,BD+,Gross,Budget,Feb,393306933
CDE,2024,BD+,Gross,Budget,Jan,482969872
CDE,2024,BD+,Gross,Budget,Jul,431447684
CDE,2024,BD+,Gross,Budget,Jun,2906961897
CDE,2024,BD+,Gross,Budget,Mar,1151550323
CDE,2024,BD+,Gross,Budget,May,2988754524
CDE,2024,BD+,Gross,Budget,Nov,1492124876
CDE,2024,BD+,Gross,Budget,Oct,1047044306
CDE,2024,BD+,Gross,Budget,Sep,1463081859
CDE,2024,BD+,Gross,Forecast,Apr,339342886
CDE,2024,BD+,Gross,Forecast,Aug,931763753
CDE,2024,BD+,Gross,Forecast,Dec,257307809
CDE,2024,BD+,Gross,Forecast,Feb,201004316
CDE,2024,BD+,Gross,Forecast,Jan,134965331
CDE,2024,BD+,Gross,Forecast,Jul,518738523
CDE,2024,BD+,Gross,Forecast,Jun,6996470151
CDE,2024,BD+,Gross,Forecast,Mar,1767578048
CDE,2024,BD+,Gross,Forecast,May,611298664
CDE,2024,BD+,Gross,Forecast,Nov,194766083
CDE,2024,BD+,Gross,Forecast,Oct,157749255
CDE,2024,BD+,Gross,Forecast,Sep,2651633984
CDE,2024,BD+,Net,Actual,Apr,919753172
CDE,2024,BD+,Net,Actual,Aug,681178434
CDE,2024,BD+,Net,Actual,Dec,3710641573
CDE,2024,BD+,Net,Actual,Feb,271796856
CDE,2024,BD+,Net,Actual,Jan,20865356
CDE,2024,BD+,Net,Actual,Jul,1482138885
CDE,2024,BD+,Net,Actual,Jun,5640125153
CDE,2024,BD+,Net,Actual,Mar,1803753562
CDE,2024,BD+,Net,Actual,May,499275104
CDE,2024,BD+,Net,Actual,Nov,483807947
CDE,2024,BD+,Net,Actual,Oct,346942441
CDE,2024,BD+,Net,Actual,Sep,1233584335
CDE,2024,BD+,Net,Budget,Apr,501254405
CDE,2024,BD+,Net,Budget,Aug,1050787830
CDE,2024,BD+,Net,Budget,Dec,69359910
CDE,2024,BD+,Net,Budget,Feb,9075343
CDE,2024,BD+,Net,Budget,Jan,665411052
CDE,2024,BD+,Net,Budget,Jul,746579190
CDE,2024,BD+,Net,Budget,Jun,5074855401
CDE,2024,BD+,Net,Budget,Mar,1323073097
CDE,2024,BD+,Net,Budget,May,2021763554
CDE,2024,BD+,Net,Budget,Nov,2767750249
CDE,2024,BD+,Net,Budget,Oct,384929152
CDE,2024,BD+,Net,Budget,Sep,2408113097
CDE,2024,BD+,Net,Forecast,Apr,1086520317
CDE,2024,BD+,Net,Forecast,Aug,1264353382
CDE,2024,BD+,Net,Forecast,Dec,1480868147
CDE,2024,BD+,Net,Forecast,Feb,281697733
CDE,2024,BD+,Net,Forecast,Jan,196284763
CDE,2024,BD+,Net,Forecast,Jul,323623676
CDE,2024,BD+,Net,Forecast,Jun,718160028
CDE,2024,BD+,Net,Forecast,Mar,1133436876
CDE,2024,BD+,Net,Forecast,May,217091905
CDE,2024,BD+,Net,Forecast,Nov,2003942607
CDE,2024,BD+,Net,Forecast,Oct,1111834746
CDE,2024,BD+,Net,Forecast,Sep,181209835
CDE,2024,BD+,Op,Actual,Apr,2076337526
CDE,2024,BD+,Op,Actual,Aug,1274151799
CDE,2024,BD+,Op,Actual,Dec,3509517301
CDE,2024,BD+,Op,Actual,Feb,326750500
CDE,2024,BD+,Op,Actual,Jan,584353158
CDE,2024,BD+,Op,Actual,Jul,409476495
CDE,2024,BD+,Op,Actual,Jun,6886861503
CDE,2024,BD+,Op,Actual,Mar,945300872
CDE,2024,BD+,Op,Actual,May,2417540250
CDE,2024,BD+,Op,Actual,Nov,4119258261
CDE,2024,BD+,Op,Actual,Oct,1625459211
CDE,2024,BD+,Op,Actual,Sep,2138635446
CDE,2024,BD+,Op,Budget,Apr,273783237
CDE,2024,BD+,Op,Budget,Aug,1684420795
CDE,2024,BD+,Op,Budget,Dec,1527565280
CDE,2024,BD+,Op,Budget,Feb,348008518
CDE,2024,BD+,Op,Budget,Jan,459425412
CDE,2024,BD+,Op,Budget,Jul,610693848
CDE,2024,BD+,Op,Budget,Jun,5051871376
CDE,2024,BD+,Op,Budget,Mar,1683038008
CDE,2024,BD+,Op,Budget,May,607272182
CDE,2024,BD+,Op,Budget,Nov,3155970840
CDE,2024,BD+,Op,Budget,Oct,809940417
CDE,2024,BD+,Op,Budget,Sep,2374775881
CDE,2024,BD+,Op,Forecast,Apr,540631679
CDE,2024,BD+,Op,Forecast,Aug,1642612814
CDE,2024,BD+,Op,Forecast,Dec,77935032
CDE,2024,BD+,Op,Forecast,Feb,151216260
CDE,2024,BD+,Op,Forecast,Jan,36605362
CDE,2024,BD+,Op,Forecast,Jul,788306128
CDE,2024,BD+,Op,Forecast,Jun,2367276415
CDE,2024,BD+,Op,Forecast,Mar,1193569378
CDE,2024,BD+,Op,Forecast,May,165028421
CDE,2024,BD+,Op,Forecast,Nov,2754113325
CDE,2024,BD+,Op,Forecast,Oct,1224238801
CDE,2024,BD+,Op,Forecast,Sep,2468487332
CDE,2024,CE,Gross,Actual,Apr,1188836499
CDE,2024,CE,Gross,Actual,Aug,973624983
CDE,2024,CE,Gross,Actual,Dec,382006459
CDE,2024,CE,Gross,Actual,Feb,952010641
CDE,2024,CE,Gross,Actual,Jan,148989824
CDE,2024,CE,Gross,Actual,Jul,3470496245
CDE,2024,CE,Gross,Actual,Jun,3704573782
CDE,2024,CE,Gross,Actual,Mar,4441725288
CDE,2024,CE,Gross,Actual,May,402663823
CDE,2024,CE,Gross,Actual,Nov,5684421066
CDE,2024,CE,Gross,Actual,Oct,2779627512
CDE,2024,CE,Gross,Actual,Sep,4000662936
CDE,2024,CE,Gross,Budget,Apr,244340249
CDE,2024,CE,Gross,Budget,Aug,2519418444
CDE,2024,CE,Gross,Budget,Dec,258025998
CDE,2024,CE,Gross,Budget,Feb,735346887
CDE,2024,CE,Gross,Budget,Jan,288437139
CDE,2024,CE,Gross,Budget,Jul,730603337
CDE,2024,CE,Gross,Budget,Jun,3816664363
CDE,2024,CE,Gross,Budget,Mar,1254177233
CDE,2024,CE,Gross,Budget,May,739312807
CDE,2024,CE,Gross,Budget,Nov,3828181702
CDE,2024,CE,Gross,Budget,Oct,6295334811
CDE,2024,CE,Gross,Budget,Sep,5629224705
CDE,2024,CE,Gross,Forecast,Apr,2250819589
CDE,2024,CE,Gross,Forecast,Aug,2691773490
CDE,2024,CE,Gross,Forecast,Dec,174968502
CDE,2024,CE,Gross,Forecast,Feb,71101456
CDE,2024,CE,Gross,Forecast,Jan,726624466
CDE,2024,CE,Gross,Forecast,Jul,3074191845
CDE,2024,CE,Gross,Forecast,Jun,1026812324
CDE,2024,CE,Gross,Forecast,Mar,4406206316
CDE,2024,CE,Gross,Forecast,May,26947153
CDE,2024,CE,Gross,Forecast,Nov,3697206273
CDE,2024,CE,Gross,Forecast,Oct,1225282174
CDE,2024,CE,Gross,Forecast,Sep,6270015170
CDE,2024,CE,Net,Actual,Apr,1773745845
CDE,2024,CE,Net,Actual,Aug,234085865
CDE,2024,CE,Net,Actual,Dec,921519567
CDE,2024,CE,Net,Actual,Feb,450360981
CDE,2024,CE,Net,Actual,Jan,1000871174
CDE,2024,CE,Net,Actual,Jul,917869362
CDE,2024,CE,Net,Actual,Jun,691285017
CDE,2024,CE,Net,Actual,Mar,1944499863
CDE,2024,CE,Net,Actual,May,302595119
CDE,2024,CE,Net,Actual,Nov,3347745810
CDE,2024,CE,Net,Actual,Oct,1761118195
CDE,2024,CE,Net,Actual,Sep,5001269715
CDE,2024,CE,Net,Budget,Apr,2338031734
CDE,2024,CE,Net,Budget,Aug,1363170198
CDE,2024,CE,Net,Budget,Dec,1314767969
CDE,2024,CE,Net,Budget,Feb,1939535656
CDE,2024,CE,Net,Budget,Jan,882415692
CDE,2024,CE,Net,Budget,Jul,1643527501
CDE,2024,CE,Net,Budget,Jun,58824222
CDE,2024,CE,Net,Budget,Mar,5768761714
CDE,2024,CE,Net,Budget,May,193444519
CDE,2024,CE,Net,Budget,Nov,1876180189
CDE,2024,CE,Net,Budget,Oct,3553409297
CDE,2024,CE,Net,Budget,Sep,6539738173
CDE,2024,CE,Net,Forecast,Apr,2417111636
CDE,2024,CE,Net,Forecast,Aug,550738424
CDE,2024,CE,Net,Forecast,Dec,802483858
CDE,2024,CE,Net,Forecast,Feb,850432743
CDE,2024,CE,Net,Forecast,Jan,1142032729
CDE,2024,CE,Net,Forecast,Jul,1135179277
CDE,2024,CE,Net,Forecast,Jun,342792481
CDE,2024,CE,Net,Forecast,Mar,2425614212
CDE,2024,CE,Net,Forecast,May,951709383
CDE,2024,CE,Net,Forecast,Nov,2920103415
CDE,2024,CE,Net,Forecast,Oct,3129977839
CDE,2024,CE,Net,Forecast,Sep,1623868651
CDE,2024,CE,Op,Actual,Apr,2973593161
CDE,2024,CE,Op,Actual,Aug,2529712453
CDE,2024,CE,Op,Actual,Dec,69624962
CDE,2024,CE,Op,Actual,Feb,1826563507
CDE,2024,CE,Op,Actual,Jan,1320194126
CDE,2024,CE,Op,Actual,Jul,902680596
CDE,2024,CE,Op,Actual,Jun,3157911884
CDE,2024,CE,Op,Actual,Mar,4256430488
CDE,2024,CE,Op,Actual,May,440848266
CDE,2024,CE,Op,Actual,Nov,2863617013
CDE,2024,CE,Op,Actual,Oct,3893873163
CDE,2024,CE,Op,Actual,Sep,2284742555
CDE,2024,CE,Op,Budget,Apr,2228085235
CDE,2024,CE,Op,Budget,Aug,1815486175
CDE,2024,CE,Op,Budget,Dec,1201995249
CDE,2024,CE,Op,Budget,Feb,1739832261
CDE,2024,CE,Op,Budget,Jan,637521266
CDE,2024,CE,Op,Budget,Jul,160100906
CDE,2024,CE,Op,Budget,Jun,571744745
CDE,2024,CE,Op,Budget,Mar,273481203
CDE,2024,CE,Op,Budget,May,469767644
CDE,2024,CE,Op,Budget,Nov,2822717907
CDE,2024,CE,Op,Budget,Oct,1940414362
CDE,2024,CE,Op,Budget,Sep,2482233267
CDE,2024,CE,Op,Forecast,Apr,371012084
CDE,2024,CE,Op,Forecast,Aug,1534871590
CDE,2024,CE,Op,Forecast,Dec,877353859
CDE,2024,CE,Op,Forecast,Feb,29492998
CDE,2024,CE,Op,Forecast,Jan,1576208163
CDE,2024,CE,Op,Forecast,Jul,113380316
CDE,2024,CE,Op,Forecast,Jun,3983320264
CDE,2024,CE,Op,Forecast,Mar,2011326077
CDE,2024,CE,Op,Forecast,May,859974293
CDE,2024,CE,Op,Forecast,Nov,2112326515
CDE,2024,CE,Op,Forecast,Oct,4899632059
CDE,2024,CE,Op,Forecast,Sep,5587711408
CDE,2024,CH,Gross,Actual,Apr,253943590
CDE,2024,CH,Gross,Actual,Aug,237760490
CDE,2024,CH,Gross,Actual,Dec,310071862
CDE,2024,CH,Gross,Actual,Feb,187153075
CDE,2024,CH,Gross,Actual,Jan,87113334
CDE,2024,CH,Gross,Actual,Jul,406351594
CDE,2024,CH,Gross,Actual,Jun,60007700
CDE,2024,CH,Gross,Actual,Mar,150701432
CDE,2024,CH,Gross,Actual,May,187431146
CDE,2024,CH,Gross,Actual,Nov,371891438
CDE,2024,CH,Gross,Actual,Oct,588416480
CDE,2024,CH,Gross,Actual,Sep,180293898
CDE,2024,CH,Gross,Budget,Apr,343676389
CDE,2024,CH,Gross,Budget,Aug,121691809
CDE,2024,CH,Gross,Budget,Dec,223665454
CDE,2024,CH,Gross,Budget,Feb,245878830
CDE,2024,CH,Gross,Budget,Jan,278022059
CDE,2024,CH,Gross,Budget,Jul,480650366
CDE,2024,CH,Gross,Budget,Jun,219521635
CDE,2024,CH,Gross,Budget,Mar,180818980
CDE,2024,CH,Gross,Budget,May,15169714
CDE,2024,CH,Gross,Budget,Nov,366459083
CDE,2024,CH,Gross,Budget,Oct,16510606
CDE,2024,CH,Gross,Budget,Sep,115753240
CDE,2024,CH,Gross,Forecast,Apr,314382688
CDE,2024,CH,Gross,Forecast,Aug,238302478
CDE,2024,CH,Gross,Forecast,Dec,84130734
CDE,2024,CH,Gross,Forecast,Feb,177525844
CDE,2024,CH,Gross,Forecast,Jan,345565713
CDE,2024,CH,Gross,Forecast,Jul,389217963
CDE,2024,CH,Gross,Forecast,Jun,165445885
CDE,2024,CH,Gross,Forecast,Mar,349515096
CDE,2024,CH,Gross,Forecast,May,138116385
CDE,2024,CH,Gross,Forecast,Nov,40252358
CDE,2024,CH,Gross,Forecast,Oct,283663458
CDE,2024,CH,Gross,Forecast,Sep,98880110
CDE,2024,CH,Net,Actual,Apr,34368064
CDE,2024,CH,Net,Actual,Aug,85754645
CDE,2024,CH,Net,Actual,Dec,134676570
CDE,2024,CH,Net,Actual,Feb,226242038
CDE,2024,CH,Net,Actual,Jan,251966194
CDE,2024,CH,Net,Actual,Jul,13981562
CDE,2024,CH,Net,Actual,Jun,118289959
CDE,2024,CH,Net,Actual,Mar,7879266
CDE,2024,CH,Net,Actual,May,128945525
CDE,2024,CH,Net,Actual,Nov,376863762
CDE,2024,CH,Net,Actual,Oct,331060165
CDE,2024,CH,Net,Actual,Sep,82426873
CDE,2024,CH,Net,Budget,Apr,32706954
CDE,2024,CH,Net,Budget,Aug,53595665
CDE,2024,CH,Net,Budget,Dec,180113273
CDE,2024,CH,Net,Budget,Feb,168360037
CDE,2024,CH,Net,Budget,Jan,411564963
CDE,2024,CH,Net,Budget,Jul,173930191
CDE,2024,CH,Net,Budget,Jun,4286994
CDE,2024,CH,Net,Budget,Mar,281998265
CDE,2024,CH,Net,Budget,May,76629810
CDE,2024,CH,Net,Budget,Nov,21604482
CDE,2024,CH,Net,Budget,Oct,178297602
CDE,2024,CH,Net,Budget,Sep,174541412
CDE,2024,CH,Net,Forecast,Apr,308475727
CDE,2024,CH,Net,Forecast,Aug,171330803
CDE,2024,CH,Net,Forecast,Dec,90718323
CDE,2024,CH,Net,Forecast,Feb,155812585
CDE,2024,CH,Net,Forecast,Jan,30314742
CDE,2024,CH,Net,Forecast,Jul,439090081
CDE,2024,CH,Net,Forecast,Jun,393770951
CDE,2024,CH,Net,Forecast,Mar,151439945
CDE,2024,CH,Net,Forecast,May,228836825
CDE,2024,CH,Net,Forecast,Nov,215157291
CDE,2024,CH,Net,Forecast,Oct,263511360
CDE,2024,CH,Net,Forecast,Sep,86942261
CDE,2024,CH,Op,Actual,Apr,21980355
CDE,2024,CH,Op,Actual,Aug,48903343
CDE,2024,CH,Op,Actual,Dec,75149757
CDE,2024,CH,Op,Actual,Feb,23395474
CDE,2024,CH,Op,Actual,Jan,1918331
CDE,2024,CH,Op,Actual,Jul,140374525
CDE,2024,CH,Op,Actual,Jun,6810132
CDE,2024,CH,Op,Actual,Mar,46993896
CDE,2024,CH,Op,Actual,May,100874681
CDE,2024,CH,Op,Actual,Nov,225090500
CDE,2024,CH,Op,Actual,Oct,55188385
CDE,2024,CH,Op,Actual,Sep,44480212
CDE,2024,CH,Op,Budget,Apr,201219635
CDE,2024,CH,Op,Budget,Aug,21885704
CDE,2024,CH,Op,Budget,Dec,106461091
CDE,2024,CH,Op,Budget,Feb,70041742
CDE,2024,CH,Op,Budget,Jan,205638260
CDE,2024,CH,Op,Budget,Jul,164343446
CDE,2024,CH,Op,Budget,Jun,215716621
CDE,2024,CH,Op,Budget,Mar,272239288
CDE,2024,CH,Op,Budget,May,168147879
CDE,2024,CH,Op,Budget,Nov,282319915
CDE,2024,CH,Op,Budget,Oct,511693736
CDE,2024,CH,Op,Budget,Sep,154686748
CDE,2024,CH,Op,Forecast,Apr,248538447
CDE,2024,CH,Op,Forecast,Aug,186663
CDE,2024,CH,Op,Forecast,Dec,76868008
CDE,2024,CH,Op,Forecast,Feb,5398262
CDE,2024,CH,Op,Forecast,Jan,317605670
CDE,2024,CH,Op,Forecast,Jul,52034484
CDE,2024,CH,Op,Forecast,Jun,33077468
CDE,2024,CH,Op,Forecast,Mar,140568827
CDE,2024,CH,Op,Forecast,May,101511942
CDE,2024,CH,Op,Forecast,Nov,257290193
CDE,2024,CH,Op,Forecast,Oct,519554793
CDE,2024,CH,Op,Forecast,Sep,114506886
CDE,2024,DC,Gross,Actual,Apr,1112614857
CDE,2024,DC,Gross,Actual,Aug,1832971486
CDE,2024,DC,Gross,Actual,Dec,4246966409
CDE,2024,DC,Gross,Actual,Feb,2015411631
CDE,2024,DC,Gross,Actual,Jan,165958326
CDE,2024,DC,Gross,Actual,Jul,76333123
CDE,2024,DC,Gross,Actual,Jun,869308627
CDE,2024,DC,Gross,Actual,Mar,2484352313
CDE,2024,DC,Gross,Actual,May,1276959358
CDE,2024,DC,Gross,Actual,Nov,1431212483
CDE,2024,DC,Gross,Actual,Oct,352601153
CDE,2024,DC,Gross,Actual,Sep,4037660085
CDE,2024,DC,Gross,Budget,Apr,579824307
CDE,2024,DC,Gross,Budget,Aug,1070981307
CDE,2024,DC,Gross,Budget,Dec,5973776619
CDE,2024,DC,Gross,Budget,Feb,1875772184
CDE,2024,DC,Gross,Budget,Jan,1376401392
CDE,2024,DC,Gross,Budget,Jul,3239667697
CDE,2024,DC,Gross,Budget,Jun,704109328
CDE,2024,DC,Gross,Budget,Mar,77754989
CDE,2024,DC,Gross,Budget,May,181564476
CDE,2024,DC,Gross,Budget,Nov,3171914280
CDE,2024,DC,Gross,Budget,Oct,2819959600
CDE,2024,DC,Gross,Budget,Sep,373437326
CDE,2024,DC,Gross,Forecast,Apr,1150137650
CDE,2024,DC,Gross,Forecast,Aug,2134573632
CDE,2024,DC,Gross,Forecast,Dec,1758019073
CDE,2024,DC,Gross,Forecast,Feb,830111058
CDE,2024,DC,Gross,Forecast,Jan,1852248417
CDE,2024,DC,Gross,Forecast,Jul,937563921
CDE,2024,DC,Gross,Forecast,Jun,1729528864
CDE,2024,DC,Gross,Forecast,Mar,2248204473
CDE,2024,DC,Gross,Forecast,May,843012914
CDE,2024,DC,Gross,Forecast,Nov,761649111
CDE,2024,DC,Gross,Forecast,Oct,2156011482
CDE,2024,DC,Gross,Forecast,Sep,3471641587
CDE,2024,DC,Net,Actual,Apr,389078049
CDE,2024,DC,Net,Actual,Aug,1509732021
CDE,2024,DC,Net,Actual,Dec,4265172053
CDE,2024,DC,Net,Actual,Feb,576252555
CDE,2024,DC,Net,Actual,Jan,692097141
CDE,2024,DC,Net,Actual,Jul,760065672
CDE,2024,DC,Net,Actual,Jun,966570302
CDE,2024,DC,Net,Actual,Mar,943569916
CDE,2024,DC,Net,Actual,May,1215903250
CDE,2024,DC,Net,Actual,Nov,77995554
CDE,2024,DC,Net,Actual,Oct,572563297
CDE,2024,DC,Net,Actual,Sep,2633236091
CDE,2024,DC,Net,Budget,Apr,125419678
CDE,2024,DC,Net,Budget,Aug,872000378
CDE,2024,DC,Net,Budget,Dec,5183000885
CDE,2024,DC,Net,Budget,Feb,277591399
CDE,2024,DC,Net,Budget,Jan,872997033
CDE,2024,DC,Net,Budget,Jul,525092313
CDE,2024,DC,Net,Budget,Jun,2241444341
CDE,2024,DC,Net,Budget,Mar,2438564893
CDE,2024,DC,Net,Budget,May,756590898
CDE,2024,DC,Net,Budget,Nov,2477251289
CDE,2024,DC,Net,Budget,Oct,898814853
CDE,2024,DC,Net,Budget,Sep,451711794
CDE,2024,DC,Net,Forecast,Apr,479481476
CDE,2024,DC,Net,Forecast,Aug,588805806
CDE,2024,DC,Net,Forecast,Dec,1660903057
CDE,2024,DC,Net,Forecast,Feb,74969756
CDE,2024,DC,Net,Forecast,Jan,1116645658
CDE,2024,DC,Net,Forecast,Jul,1995705884
CDE,2024,DC,Net,Forecast,Jun,3587215
CDE,2024,DC,Net,Forecast,Mar,2252992812
CDE,2024,DC,Net,Forecast,May,125254103
CDE,2024,DC,Net,Forecast,Nov,1984654155
CDE,2024,DC,Net,Forecast,Oct,3452147940
CDE,2024,DC,Net,Forecast,Sep,1487818144
CDE,2024,DC,Op,Actual,Apr,152176184
CDE,2024,DC,Op,Actual,Aug,390610964
CDE,2024,DC,Op,Actual,Dec,3598240518
CDE,2024,DC,Op,Actual,Feb,613104910
CDE,2024,DC,Op,Actual,Jan,858243681
CDE,2024,DC,Op,Actual,Jul,1759263911
CDE,2024,DC,Op,Actual,Jun,2050099564
CDE,2024,DC,Op,Actual,Mar,417048755
CDE,2024,DC,Op,Actual,May,987518468
CDE,2024,DC,Op,Actual,Nov,3522049857
CDE,2024,DC,Op,Actual,Oct,422371159
CDE,2024,DC,Op,Actual,Sep,2618520467
CDE,2024,DC,Op,Budget,Apr,374803095
CDE,2024,DC,Op,Budget,Aug,839430465
CDE,2024,DC,Op,Budget,Dec,191488576
CDE,2024,DC,Op,Budget,Feb,80517637
CDE,2024,DC,Op,Budget,Jan,355974937
CDE,2024,DC,Op,Budget,Jul,464919326
CDE,2024,DC,Op,Budget,Jun,877544450
CDE,2024,DC,Op,Budget,Mar,983660648
CDE,2024,DC,Op,Budget,May,1467699478
CDE,2024,DC,Op,Budget,Nov,2023669915
CDE,2024,DC,Op,Budget,Oct,1220803879
CDE,2024,DC,Op,Budget,Sep,3110465518
CDE,2024,DC,Op,Forecast,Apr,292040815
CDE,2024,DC,Op,Forecast,Aug,683818737
CDE,2024,DC,Op,Forecast,Dec,4256588294
